FilmID,Title,Release Date,DirectorID,Lead Actor/Actress,LanguageID,Industry,GenreID,Budget in Crores,First Day Collection Worldwide  in Crores,Worldwide Collection  in Crores,Overseas Collection in Crores,India Gross Collection in Crores,Verdict,IMDb Rating,Runtime (mins),OTT Platform
323,Bimbisara,05-08-2022,329,Nandamuri Kalyan Ram,505,Tollywood,708,40.00,12.00,64.60,6.50,58.10,Hit,6.8,146,ZEE5
324,Viruman,12-08-2022,330,Arundhati,503,Kollywood,606,30.00,9.80,63.77,8.50,55.27,Hit,4.9,149,Amazon Prime Video
325,Bangarraju,14-01-2022,193,Nagarjuna Akkineni,505,Tollywood,647,30.00,13.30,61.80,3.50,58.30,Hit,5.6,150,ZEE5
326,Shamshera,22-07-2022,331,Ranbir Kapoor,501,Bollywood,698,150.00,15.15,60.75,13.00,47.75,Disaster,4.7,178,Amazon Prime Video
327,Cirkus,23-12-2022,105,Ranveer Singh,501,Bollywood,620,70.00,9.38,60.60,15.00,45.60,Disaster,4.4,139,Netflix
328,Ek Villain Returns,29-07-2022,109,John Abraham,501,Bollywood,709,75.00,10.35,60.00,9.00,51.00,Disaster,4.4,129,Netflix
329,Cobra,31-08-2022,172,Vikram,503,Kollywood,607,90.00,25.00,58.86,8.00,50.86,Disaster,6,183,Amazon Prime Video
330,Major,03-06-2022,191,Adivi Sesh,505,Tollywood,710,25.00,13.15,58.20,13.00,45.20,Super Hit,8.1,150,Amazon Prime Video
331,Liger,25-08-2022,242,Vijay Deverakonda,505,Tollywood,680,100.00,24.20,56.18,7.60,48.58,Disaster,2.6,140,Disney+ Hotstar
332,Vendhu Thanindhathu Kaadu,15-09-2022,262,Silambarasan Rajendar,503,Kollywood,605,25.00,10.50,54.50,13.50,41.00,Super Hit,7.3,177,Amazon Prime Video
333,Hridayam,28-01-2022,332,Pranav Mohanlal,509,Mollywood,711,7.00,5.40,53.10,22.50,30.60,Blockbuster,8.1,172,Disney+ Hotstar
334,Kaathu Vaakula Rendu Kaadhal,28-04-2022,152,Vijay Sethupathi,503,Kollywood,608,25.00,8.50,52.50,10.00,42.50,Super Hit,5.5,157,Disney+ Hotstar
